Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Area,Price_Zone
"Block B, Banasree",1100,3,3,25000,23.7344694,90.4136962,Banasree,Medium
"Naya Paltan, Motijheel",1000,2,2,28000,23.7641281,90.4466991,Motijheel,Medium
"Block F, Aftab Nagar",1400,3,3,30000,23.7612995,90.3924947,Aftab Nagar,Medium
"Tejkunipara, Tejgaon",1680,3,3,48000,23.7947536,90.4143085,Tejgaon,Medium
"Gulshan 2, Gulshan",2750,4,4,200000,23.7641281,90.4466991,Gulshan,High
"Block F, Aftab Nagar",1400,3,3,30000,23.7820433,90.4231228,Aftab Nagar,Medium
"Uttar Badda, Badda",1250,3,3,25000,23.884012,90.3883735,Badda,Low
"Sector 10, Uttara",1750,3,3,60000,23.7820624,90.4160527,Uttara,Medium
"Gulshan 1, Gulshan",2508,3,3,150000,23.7619353,90.433141,Gulshan,High
"Block B, Banasree",1000,2,2,25000,23.8773155,90.3901397,Banasree,Medium
"Sector 11, Uttara",1550,3,3,26000,23.8154814,90.433141,Uttara,Medium
"Block D, Bashundhara R-A",2100,3,3,50000,23.8136688,90.4295717,Bashundhara R-A,High
"Block A, Bashundhara R-A",2200,5,5,35000,23.7465311,90.3477733,Bashundhara R-A,High
"Bochila, Mohammadpur",1470,3,3,20000,23.7947536,90.4143085,Mohammadpur,Medium
"Gulshan 2, Gulshan",3200,4,4,300000,23.8136688,90.4295717,Gulshan,High
"Block A, Bashundhara R-A",2000,4,4,40000,22.3402906,91.7940582,Bashundhara R-A,High
"25 No. Rampur Ward, Double Mooring",1150,3,3,20000,23.8184723,90.4272477,Double Mooring,Medium
"Block C, Bashundhara R-A",1300,4,4,28000,23.8136688,90.4295717,Bashundhara R-A,High
"Block A, Bashundhara R-A",2200,5,5,35000,22.3586885,91.8141603,Bashundhara R-A,High
"Nasirabad Properties Residential Area, Khulshi",3000,4,4,55000,23.7947536,90.4143085,Khulshi,Low
"Gulshan 2, Gulshan",5000,4,4,420000,23.7203137,90.4225336,Gulshan,High
"Tikatuli, Sutrapur",1800,3,3,45000,23.7641281,90.4466991,Sutrapur,Medium
"Block E, Aftab Nagar",1440,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block E, Aftab Nagar",1755,3,3,30000,23.884012,90.3883735,Aftab Nagar,Medium
"Sector 10, Uttara",1500,3,3,25000,22.3586885,91.8141603,Uttara,Medium
"Nasirabad Properties Residential Area, Khulshi",1645,3,3,36000,23.8136688,90.4295717,Khulshi,Low
"Block A, Bashundhara R-A",2000,4,4,40000,23.793741,90.3550304,Bashundhara R-A,High
"Ahmed Nagar, Mirpur",1200,3,3,20000,23.7485384,90.4109534,Mirpur,Low
"Boro Maghbazar, Maghbazar",1350,3,3,25000,23.7322458,90.4107509,Maghbazar,Medium
"Purana Paltan, Motijheel",1400,3,3,30000,23.8028731,90.420766,Motijheel,Medium
"Block K, Baridhara",3500,4,4,300000,23.7947536,90.4143085,Baridhara,High
"Gulshan 2, Gulshan",4200,4,4,300000,23.8184723,90.4272477,Gulshan,High
"Block C, Bashundhara R-A",2667,4,4,110000,23.8154814,90.433141,Bashundhara R-A,High
"Block D, Bashundhara R-A",2100,3,3,50000,23.8136688,90.4295717,Bashundhara R-A,High
"Block A, Bashundhara R-A",2200,4,4,35000,23.8206417,90.4490575,Bashundhara R-A,High
"Block L, Bashundhara R-A",1150,3,3,25000,22.3587138,91.8108977,Bashundhara R-A,High
"South Khulshi, Khulshi",1650,3,3,35000,23.7947536,90.4143085,Khulshi,Low
"Gulshan 2, Gulshan",3850,4,4,300000,23.7641281,90.4466991,Gulshan,High
"Block E, Aftab Nagar",1325,3,3,20000,23.7753515,90.4225336,Aftab Nagar,Medium
"South Badda, Badda",1200,3,3,35000,23.7619353,90.433141,Badda,Low
"Block B, Banasree",1100,2,2,23000,22.3650739,91.8276288,Banasree,Medium
"Nasirabad Housing Society, Muradpur",1940,4,4,40000,22.3586885,91.8141603,Muradpur,Medium
"Nasirabad Properties Residential Area, Khulshi",2000,3,3,45200,23.7820624,90.4160527,Khulshi,Low
"Gulshan 1, Gulshan",3100,4,4,100000,23.8184723,90.4272477,Gulshan,High
"Block C, Bashundhara R-A",3100,5,5,60000,23.8676564,90.3871961,Bashundhara R-A,High
"Sector 14, Uttara",950,2,2,25000,22.3707543,91.8007579,Uttara,Medium
"Road No 4, Jalalabad Housing Society",1450,3,3,20000,23.8184723,90.4272477,Jalalabad Housing Society,Medium
"Block C, Bashundhara R-A",1350,3,3,25000,23.8002468,90.4293102,Bashundhara R-A,High
"Vatara, Badda",1200,2,2,21000,23.7947536,90.4143085,Badda,Low
"Gulshan 2, Gulshan",4500,4,4,260000,23.7734642,90.3580005,Gulshan,High
"Baitul Aman Housing Society, Adabor",1470,3,3,20000,23.7494629,90.3665972,Adabor,Medium
"West Dhanmondi, Dhanmondi",1300,4,4,35000,23.8772975,90.3972052,Dhanmondi,Medium
"Sector 9, Uttara",1700,4,4,40000,22.3650739,91.8276288,Uttara,Medium
"Nasirabad Housing Society, Muradpur",1800,3,3,24000,23.793741,90.3550304,Muradpur,Medium
"Ahmed Nagar, Mirpur",1350,3,3,20000,22.3589004,91.8125895,Mirpur,Low
"North Khulshi, Khulshi",3800,5,5,85000,23.7947536,90.4143085,Khulshi,Low
"Gulshan 2, Gulshan",4200,5,5,150000,23.8110194,90.433141,Gulshan,High
"Block E, Bashundhara R-A",1480,3,3,37000,23.764683,90.3621536,Bashundhara R-A,High
"Tajmahal Road, Mohammadpur",820,2,2,22000,23.8110194,90.433141,Mohammadpur,Medium
"Block E, Bashundhara R-A",1480,3,3,37000,23.7641281,90.4466991,Bashundhara R-A,High
"Block E, Aftab Nagar",1450,3,3,25000,23.8773155,90.3901397,Aftab Nagar,Medium
"Sector 11, Uttara",1415,3,3,35000,23.7619353,90.433141,Uttara,Medium
"Block G, Banasree",1450,3,3,25000,23.7723767,90.4225336,Banasree,Medium
"Merul Badda, Badda",1350,3,3,30000,23.7641281,90.4466991,Badda,Low
"Block E, Aftab Nagar",1520,3,3,30000,23.7976561,90.4248906,Aftab Nagar,Medium
"Block J, Baridhara",2400,4,4,65000,22.3617769,91.8376244,Baridhara,High
"Katalganj Residential Area, 16 No. Chawk Bazaar Ward",1300,3,3,28000,23.7619353,90.433141,16 No. Chawk Bazaar Ward,Medium
"Block G, Banasree",1400,3,3,25000,23.7470735,90.4284263,Banasree,Medium
"Tilpapara, Khilgaon",1100,2,2,20000,23.7820433,90.4231228,Khilgaon,Low
"Uttar Badda, Badda",1200,2,2,30000,23.7642132,90.4160527,Badda,Low
"West Rampura, Rampura",1250,3,3,30000,23.8184723,90.4272477,Rampura,Low
"Block C, Bashundhara R-A",1600,4,4,40000,22.3586885,91.8141603,Bashundhara R-A,High
"Nasirabad Properties Residential Area, Khulshi",1600,3,3,30000,23.7619353,90.433141,Khulshi,Low
"Block J, Banasree",1200,3,3,20000,23.7673797,90.3647735,Banasree,Medium
"Humayun Road, Mohammadpur",700,2,2,20000,22.3707543,91.8007579,Mohammadpur,Medium
"Road No 4, Jalalabad Housing Society",1450,3,3,20000,23.7947536,90.4143085,Jalalabad Housing Society,Medium
"Gulshan 2, Gulshan",3200,4,4,200000,22.3466078,91.8287858,Gulshan,High
"Ashkar Dighir Par, Jamal Khan",1100,2,2,20000,23.8318836,90.4178201,Jamal Khan,Medium
"Nikunja 2, Nikunja",720,2,2,22000,23.8184723,90.4272477,Nikunja,Medium
"Block C, Bashundhara R-A",2700,4,4,120000,23.7641281,90.4466991,Bashundhara R-A,High
"Block A, Aftab Nagar",1450,4,4,25000,23.8184723,90.4272477,Aftab Nagar,Medium
"Block C, Bashundhara R-A",1200,2,2,25000,23.7645587,90.4257745,Bashundhara R-A,High
"Block A, Banasree",900,2,2,22000,23.7504963,90.3816811,Banasree,Medium
"Lake Circus Road, Kalabagan",1300,3,3,33000,23.8773155,90.3901397,Kalabagan,Medium
"Sector 11, Uttara",1450,2,2,20000,23.8772975,90.3972052,Uttara,Medium
"Sector 9, Uttara",1500,4,4,27000,23.7716209,90.3598492,Uttara,Medium
"Ring Road, Shyamoli",1400,4,4,30000,23.8772975,90.3972052,Shyamoli,Medium
"Sector 9, Uttara",850,2,2,25000,23.7641281,90.4466991,Uttara,Medium
"Block D, Aftab Nagar",1650,3,3,27000,23.7716209,90.3598492,Aftab Nagar,Medium
"Ring Road, Shyamoli",1400,3,3,27000,23.7641281,90.4466991,Shyamoli,Medium
"Block E, Aftab Nagar",1200,2,2,20000,22.3466078,91.8287858,Aftab Nagar,Medium
"Ashkar Dighir Par, Jamal Khan",1200,2,2,26000,22.3587138,91.8108977,Jamal Khan,Medium
"South Khulshi, Khulshi",1400,3,3,25000,23.7642132,90.4160527,Khulshi,Low
"West Rampura, Rampura",1250,3,3,30000,23.8184723,90.4272477,Rampura,Low
"Block C, Bashundhara R-A",1674,3,3,35000,22.3730145,91.7844836,Bashundhara R-A,High
"Lake Valley R/A, 9 No. North Pahartali Ward",2000,4,4,30000,23.8002468,90.4293102,9 No. North Pahartali Ward,Medium
"Vatara, Badda",1200,2,2,21000,23.7344694,90.4136962,Badda,Low
"Naya Paltan, Motijheel",1650,4,4,35000,23.7550944,90.3589375,Motijheel,Medium
"Bosila, Mohammadpur",1150,2,2,22000,23.7791954,90.3736584,Mohammadpur,Medium
Agargaon,1250,3,3,30000,23.7748506,90.3606163,Agargaon,Medium
"Mohonpur Road, Shyamoli",1300,3,3,26000,23.7968912,90.4325517,Shyamoli,Medium
"Nurer Chala, Badda",1250,3,3,22000,23.7748506,90.3606163,Badda,Low
"Mohonpur Road, Shyamoli",1300,3,3,25000,23.871349,90.3972052,Shyamoli,Medium
"Sector 7, Uttara",1600,3,3,60000,23.7798106,90.4237121,Uttara,Medium
"Middle Badda, Badda",1350,3,3,28000,23.8184723,90.4272477,Badda,Low
"Block C, Bashundhara R-A",2700,4,4,70000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1575,3,3,27000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",2600,4,4,90000,23.7610623,90.4302394,Bashundhara R-A,High
"Block C, Aftab Nagar",1000,3,3,20000,23.7916903,90.4307836,Aftab Nagar,Medium
"Khilbari Tek, Badda",1300,3,3,24000,23.793741,90.3550304,Badda,Low
"Ahmed Nagar, Mirpur",1250,3,3,20000,23.7798106,90.4237121,Mirpur,Low
"Middle Badda, Badda",1350,3,3,28000,23.8184723,90.4272477,Badda,Low
"Block C, Bashundhara R-A",1900,4,4,60000,22.3705919,91.8318233,Bashundhara R-A,High
"Pilkhana Road, 7 No. West Sholoshohor Ward",1250,3,3,20000,23.7619353,90.433141,7 No. West Sholoshohor Ward,Medium
"Block D, Banasree",1200,2,2,20000,23.7791954,90.3736584,Banasree,Medium
Agargaon,1250,3,3,30000,23.7791954,90.3736584,Agargaon,Medium
Agargaon,1250,3,3,30000,23.8184723,90.4272477,Agargaon,Medium
"Block C, Bashundhara R-A",1650,2,2,50000,23.7640006,90.3515962,Bashundhara R-A,High
"Nobodoy Housing Society, Mohammadpur",1150,2,2,20000,23.8713307,90.4042719,Mohammadpur,Medium
"Sector 6, Uttara",1450,3,3,30000,23.7604313,90.4390353,Uttara,Medium
"Block F, Banasree",1700,4,4,30000,22.3617769,91.8376244,Banasree,Medium
"Katalganj Residential Area, 16 No. Chawk Bazaar Ward",1500,4,4,26000,23.7820624,90.4160527,16 No. Chawk Bazaar Ward,Medium
"Gulshan 1, Gulshan",3400,5,5,150000,23.8676564,90.3871961,Gulshan,High
"Sector 14, Uttara",1500,3,3,35000,23.8184723,90.4272477,Uttara,Medium
"Block C, Bashundhara R-A",1500,3,3,22000,23.7968912,90.4325517,Bashundhara R-A,High
"Nurer Chala, Badda",1100,3,3,22000,22.3535227,91.8120481,Badda,Low
"VIP Housing Society, South Khulsi",1725,3,3,22000,22.3617769,91.8376244,South Khulsi,Medium
"Katalganj Residential Area, 16 No. Chawk Bazaar Ward",2500,4,4,46000,23.8646732,90.3907284,16 No. Chawk Bazaar Ward,Medium
"Sector 5, Uttara",1560,4,4,35000,23.7344694,90.4136962,Uttara,Medium
"Naya Paltan, Motijheel",1100,2,2,30000,23.7661386,90.3587745,Motijheel,Medium
"aziz Moholla, Mohammadpur",1100,3,3,21000,23.7641281,90.4466991,Mohammadpur,Medium
"Block D, Aftab Nagar",1300,3,3,20000,22.394706,91.8129373,Aftab Nagar,Medium
"Chattogram DOHS, Bayazid",1400,3,3,22000,23.7619353,90.433141,Bayazid,Medium
"Block G, Banasree",1650,3,3,35000,23.7820624,90.4160527,Banasree,Medium
"Gulshan 1, Gulshan",2350,4,4,100000,22.3280357,91.8238361,Gulshan,High
"Majhirghat Road, 30 No. East Madarbari Ward",1400,3,3,27000,23.7798106,90.4237121,30 No. East Madarbari Ward,Medium
"Middle Badda, Badda",1340,3,3,30000,23.7641281,90.4466991,Badda,Low
"Block K, Aftab Nagar",1400,4,4,23000,23.7798106,90.4237121,Aftab Nagar,Medium
"Middle Badda, Badda",1340,3,3,30000,23.8646732,90.3907284,Badda,Low
"Sector 5, Uttara",2100,4,4,43000,22.3517735,91.8330525,Uttara,Medium
"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward",2000,4,4,40000,23.8184723,90.4272477,16 No. Chawk Bazaar Ward,Medium
"Block C, Bashundhara R-A",2800,4,4,72000,23.775297,90.3593393,Bashundhara R-A,High
"Dhaka Housing Main Road, Shyamoli",1300,3,3,27000,23.7641281,90.4466991,Shyamoli,Medium
"Block A, Aftab Nagar",900,2,2,20000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block E, Aftab Nagar",1600,3,3,30000,23.8772544,90.4136962,Aftab Nagar,Medium
"Faydabad, Dakshin Khan",1400,3,3,20000,23.884012,90.3883735,Dakshin Khan,Medium
"Sector 10, Uttara",1250,3,3,22000,23.8059448,90.44719797,Uttara,Medium
"Hill View R/A, Bayazid",1200,3,3,20000,23.7734642,90.3580005,Bayazid,Medium
"Baitul Aman Housing Society, Adabor",1500,3,3,20000,22.3589004,91.8125895,Adabor,Medium
"North Khulshi, Khulshi",2800,4,4,130000,23.7734642,90.3580005,Khulshi,Low
"Baitul Aman Housing Society, Adabor",1450,3,3,27000,22.3891916,91.8172069,Adabor,Medium
"Polytechnic, Bayazid",1600,4,4,22000,23.7641281,90.4466991,Bayazid,Medium
"Block K, Aftab Nagar",1400,4,4,23000,23.7798106,90.4237121,Aftab Nagar,Medium
"Middle Badda, Badda",1100,3,3,22000,23.7976561,90.4248906,Badda,Low
"Block J, Baridhara",2200,4,4,50000,23.8184723,90.4272477,Baridhara,High
"Block C, Bashundhara R-A",3500,4,4,110000,23.7947536,90.4143085,Bashundhara R-A,High
"Gulshan 2, Gulshan",2750,4,4,200000,23.7699247,90.3627728,Gulshan,High
"Metropalitan Cooperative Society, Mohammadpur",1400,3,3,25000,23.8713904,90.380721,Mohammadpur,Medium
"Sector 12, Uttara",2290,4,4,55000,23.820682,90.4349092,Uttara,Medium
"Block F, Bashundhara R-A",1975,3,3,35000,23.8244052,90.433141,Bashundhara R-A,High
"Block G, Bashundhara R-A",1450,3,3,26000,23.7734642,90.3580005,Bashundhara R-A,High
"Baitul Aman Housing Society, Adabor",1350,3,3,22000,23.7734642,90.3580005,Adabor,Medium
"Middle Badda, Badda",1340,3,3,30000,23.7798106,90.4237121,Badda,Low
"Block K, Baridhara",3500,4,4,260000,23.8028731,90.420766,Baridhara,High
"Sector 7, Uttara",1600,3,3,40000,23.871349,90.3972052,Uttara,Medium
"Block C, Bashundhara R-A",3500,4,4,110000,23.8184723,90.4272477,Bashundhara R-A,High
"Babar Road, Mohammadpur",1400,3,3,30000,23.7699684,90.366231,Mohammadpur,Medium
"Block D, Bashundhara R-A",2500,4,4,50000,23.8154814,90.433141,Bashundhara R-A,High
"Shahjadpur, Badda",1350,3,3,30000,23.7917066,90.4248906,Badda,Low
"Nasirabad Properties Residential Area, Khulshi",1500,4,4,30000,22.3586885,91.8141603,Khulshi,Low
"Middle Badda, Badda",1250,3,3,27000,23.7798106,90.4237121,Badda,Low
"Uttar Badda, Badda",1250,2,2,22000,23.7820433,90.4231228,Badda,Low
"Block C, Bashundhara R-A",1650,3,3,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Block K, Baridhara",3600,5,5,220000,23.8028731,90.420766,Baridhara,High
"Hill View R/A, Bayazid",1300,3,3,20000,22.84611578,91.34614096,Bayazid,Medium
"Block G, Bashundhara R-A",1500,3,3,25000,23.8244052,90.433141,Bashundhara R-A,High
"Block C, Bashundhara R-A",3500,4,4,110000,23.8184723,90.4272477,Bashundhara R-A,High
"Block E, Banasree",1000,2,2,23000,23.7619353,90.433141,Banasree,Medium
"Sector 11, Uttara",2200,4,4,50000,23.8773155,90.3901397,Uttara,Medium
"Middle Badda, Badda",1340,3,3,30000,23.7798106,90.4237121,Badda,Low
"Baitul Aman Housing Society, Adabor",1250,3,3,20000,23.7734642,90.3580005,Adabor,Medium
"Block C, Bashundhara R-A",3500,4,4,110000,23.8184723,90.4272477,Bashundhara R-A,High
"Block K, Baridhara",2400,3,3,125000,23.8028731,90.420766,Baridhara,High
"Block A, Aftab Nagar",1250,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Baitul Aman Housing Society, Adabor",720,2,2,20000,23.7734642,90.3580005,Adabor,Medium
"Sector 7, Uttara",1480,3,3,50000,23.871349,90.3972052,Uttara,Medium
"West Khulshi, 9 No. North Pahartali Ward",1530,3,3,21000,22.3662719,91.8019761,9 No. North Pahartali Ward,Medium
"Uttar Badda, Badda",1250,2,2,22000,23.7820433,90.4231228,Badda,Low
"Block C, Bashundhara R-A",1150,3,3,22000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 1, Gulshan",2400,3,3,150000,23.7820624,90.4160527,Gulshan,High
"Sector 12, Uttara",950,2,2,20000,23.8713904,90.380721,Uttara,Medium
"Block E, Banasree",1500,3,3,26000,23.7619353,90.433141,Banasree,Medium
"Sector 12, Uttara",1800,4,4,28000,23.8713904,90.380721,Uttara,Medium
"Block A, Aftab Nagar",1400,3,3,24000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block J, Banasree",950,2,2,21000,23.7619353,90.433141,Banasree,Medium
"Gulshan 2, Gulshan",4500,4,4,350000,23.7947536,90.4143085,Gulshan,High
"Block G, Banasree",1400,3,3,25000,23.7619353,90.433141,Banasree,Medium
"Block M, Banasree",1860,4,4,35000,23.7619353,90.433141,Banasree,Medium
"Sector 12, Uttara",2348,4,4,75000,23.8713904,90.380721,Uttara,Medium
"Block M, Banasree",1860,4,4,35000,23.7619353,90.433141,Banasree,Medium
"Gulshan 1, Gulshan",3500,4,4,100000,23.7820624,90.4160527,Gulshan,High
"Block I, Bashundhara R-A",1400,3,3,30000,23.8206687,90.4396248,Bashundhara R-A,High
"Polytechnic, Bayazid",1800,3,3,25000,22.3891916,91.8172069,Bayazid,Medium
"Block C, Banasree",1700,3,3,25000,23.7610623,90.4302394,Banasree,Medium
"Block C, Bashundhara R-A",2150,3,3,60000,23.8184723,90.4272477,Bashundhara R-A,High
"Block M, Banasree",1860,4,4,35000,23.7619353,90.433141,Banasree,Medium
"Block K, Baridhara",4000,4,4,420000,23.8028731,90.420766,Baridhara,High
"Nasirabad Properties Residential Area, Khulshi",1300,2,2,26000,22.3586885,91.8141603,Khulshi,Low
"Sector 4, Uttara",3000,4,4,65000,23.8624077,90.4042719,Uttara,Medium
"Sector 11, Uttara",700,2,2,25000,23.8773155,90.3901397,Uttara,Medium
"Shahjahan Road, Mohammadpur",1880,4,4,40000,23.7620692,90.3659243,Mohammadpur,Medium
"Nasirabad Properties Residential Area, Khulshi",1500,3,3,28000,22.3586885,91.8141603,Khulshi,Low
"Uttar Badda, Badda",1250,2,2,22000,23.7820433,90.4231228,Badda,Low
"Block D, Banasree",1500,3,3,30000,23.7619353,90.433141,Banasree,Medium
"Block K, Baridhara",2600,3,3,150000,23.8028731,90.420766,Baridhara,High
"Gulshan 2, Gulshan",2100,3,3,100000,23.7947536,90.4143085,Gulshan,High
"South Khulshi, Khulshi",2000,3,3,50000,22.3587138,91.8108977,Khulshi,Low
"North Khulshi, Khulshi",2800,4,4,130000,22.3589004,91.8125895,Khulshi,Low
"Sector 7, Uttara",2100,4,4,50000,23.871349,90.3972052,Uttara,Medium
"Gulshan 1, Gulshan",3500,4,4,90000,23.7820624,90.4160527,Gulshan,High
"South Khulshi, Khulshi",2000,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Shantibag, Malibagh",1300,3,3,35000,23.7433359,90.4191184,Malibagh,Medium
"Block K, Baridhara",3200,3,3,250000,23.8028731,90.420766,Baridhara,High
"South Khulshi, Khulshi",1400,4,4,30000,22.3587138,91.8108977,Khulshi,Low
"Chawk Bazar, 16 No. Chawk Bazaar Ward",1760,3,3,32000,22.3517735,91.8330525,16 No. Chawk Bazaar Ward,Medium
"Darussalam, Mirpur",1200,3,3,20000,23.7784999,90.3530666,Mirpur,Low
"Shahjadpur, Badda",1200,3,3,25000,23.7917066,90.4248906,Badda,Low
"North Khulshi, Khulshi",2800,5,5,90000,22.3589004,91.8125895,Khulshi,Low
"South Khulshi, Khulshi",2000,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Block D, Banasree",1500,3,3,30000,23.7619353,90.433141,Banasree,Medium
"Gulshan 1, Gulshan",2000,3,3,80000,23.7820624,90.4160527,Gulshan,High
"PC Culture Housing, Mohammadpur",900,2,2,23000,23.7680904,90.3518903,Mohammadpur,Medium
"Block K, Baridhara",4000,5,5,380000,23.8028731,90.420766,Baridhara,High
"West Rampura, Rampura",1200,3,3,27000,23.7642132,90.4160527,Rampura,Low
"West Rampura, Rampura",1170,3,3,30000,23.7642132,90.4160527,Rampura,Low
"West Rampura, Rampura",1000,2,2,23000,23.7642132,90.4160527,Rampura,Low
"Shantibag, Malibagh",1300,3,3,35000,23.7433359,90.4191184,Malibagh,Medium
"Block F, Bashundhara R-A",1550,3,3,50000,23.820682,90.4349092,Bashundhara R-A,High
"Gulshan 2, Gulshan",4200,4,4,350000,23.7947536,90.4143085,Gulshan,High
"Block H, Bashundhara R-A",1550,3,3,32000,23.8258759,90.4390353,Bashundhara R-A,High
"Gulshan 2, Gulshan",4000,4,4,190000,23.7947536,90.4143085,Gulshan,High
"South Khulshi, Khulshi",1100,2,2,22000,22.3587138,91.8108977,Khulshi,Low
"Outer Circular Road, Maghbazar",1750,3,3,35000,23.7485069,90.408629,Maghbazar,Medium
"Block E, Aftab Nagar",1240,3,3,21000,23.7641281,90.4466991,Aftab Nagar,Medium
"Mansurabad Housing Society, Adabor",1200,3,3,24000,23.7754356,90.3523821,Adabor,Medium
"Gulshan 2, Gulshan",3000,3,3,160000,23.7947536,90.4143085,Gulshan,High
"Ahmed Nagar, Mirpur",1450,2,2,20000,23.793741,90.3550304,Mirpur,Low
"Road No 2, Baridhara DOHS",1800,3,3,55000,23.8147607,90.4138273,Baridhara DOHS,Medium
"Sector 7, Uttara",1350,2,2,30000,23.871349,90.3972052,Uttara,Medium
"Block K, Baridhara",1921,3,3,140000,23.8028731,90.420766,Baridhara,High
"Block E, Bashundhara R-A",1480,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Gulshan 1, Gulshan",2200,3,3,75000,23.7820624,90.4160527,Gulshan,High
"North Adabor, Adabor",1500,3,3,30000,23.7734438,90.3586364,Adabor,Medium
"Gulshan 2, Gulshan",6852,5,5,700000,23.7947536,90.4143085,Gulshan,High
"Gulshan 2, Gulshan",3000,4,4,230000,23.7947536,90.4143085,Gulshan,High
"Sugandha Residential Area, Panchlaish",3000,4,4,60000,22.3644422,91.8324429,Panchlaish,Medium
29 No. West Madarbari Ward,1450,3,3,20000,22.328076,91.820863,29 No. West Madarbari Ward,Medium
"Gulshan 1, Gulshan",3000,4,4,200000,23.7820624,90.4160527,Gulshan,High
"Block B, Aftab Nagar",1600,3,3,30000,23.7641281,90.4466991,Aftab Nagar,Medium
"Nobodoy Housing Society, Mohammadpur",1050,3,3,20000,23.7640006,90.3515962,Mohammadpur,Medium
"25 No. Rampur Ward, Double Mooring",1650,3,3,25000,22.3402906,91.7940582,Double Mooring,Medium
"South Khulshi, Khulshi",1500,3,3,26000,22.3587138,91.8108977,Khulshi,Low
"Block D, Bashundhara R-A",2318,4,4,50000,23.8154814,90.433141,Bashundhara R-A,High
"South Khulshi, Khulshi",2000,3,3,50000,22.3587138,91.8108977,Khulshi,Low
"Nasirabad, 15 No. Bagmoniram Ward",1660,3,3,35000,22.3608208,91.8233007,15 No. Bagmoniram Ward,Medium
"Outer Circular Road, Maghbazar",1700,3,3,35000,23.7485069,90.408629,Maghbazar,Medium
"Yakub Future Park Housing, Khulshi",1500,3,3,23000,22.3664907,91.8059216,Khulshi,Low
"Block I, Bashundhara R-A",2400,4,4,55000,23.8206687,90.4396248,Bashundhara R-A,High
"Road No 2, Shyamoli",1315,3,3,21000,23.7746403,90.3659936,Shyamoli,Medium
"North Khulshi, Khulshi",2800,5,5,80000,22.3589004,91.8125895,Khulshi,Low
"Sector 7, Uttara",1500,3,3,60000,23.871349,90.3972052,Uttara,Medium
29 No. West Madarbari Ward,1450,3,3,20000,22.328076,91.820863,29 No. West Madarbari Ward,Medium
"Block C, Bashundhara R-A",1900,3,3,30000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 2, Gulshan",3850,4,4,300000,23.7947536,90.4143085,Gulshan,High
"South Khulshi, Khulshi",1650,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"South Khulshi, Khulshi",2000,3,3,50000,22.3587138,91.8108977,Khulshi,Low
"Nasirabad Properties Residential Area, Khulshi",2000,4,4,35000,22.3586885,91.8141603,Khulshi,Low
"Block K, Baridhara",4700,5,5,300000,23.8028731,90.420766,Baridhara,High
"Block L, Bashundhara R-A",1850,4,4,23000,23.8206417,90.4490575,Bashundhara R-A,High
"Gulshan 2, Gulshan",3850,4,4,320000,23.7947536,90.4143085,Gulshan,High
"Gulshan 2, Gulshan",3850,4,4,320000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",3900,4,4,500000,23.8028731,90.420766,Baridhara,High
"North Khulshi, Khulshi",2800,5,5,80000,22.3589004,91.8125895,Khulshi,Low
"Section 1, Mirpur",1300,3,3,20000,23.8015639,90.3489496,Mirpur,Low
"Block C, Bashundhara R-A",1365,3,3,20000,23.8184723,90.4272477,Bashundhara R-A,High
"Road No 12, Banani",2430,3,3,110000,23.7918063,90.4081443,Banani,High
"Gulshan 2, Gulshan",3850,4,4,320000,23.7947536,90.4143085,Gulshan,High
"South Khulshi, Khulshi",2000,3,3,50000,22.3587138,91.8108977,Khulshi,Low
"Baitul Aman Housing, Mohammadpur",1225,3,3,20000,23.7710733,90.3483614,Mohammadpur,Medium
"Sector 6, Uttara",1800,3,3,37000,23.8713307,90.4042719,Uttara,Medium
"Gulshan 2, Gulshan",4220,4,4,300000,23.7947536,90.4143085,Gulshan,High
"PC Culture Housing, Mohammadpur",1250,4,4,22000,23.7680904,90.3518903,Mohammadpur,Medium
"Nasirabad Properties Residential Area, Khulshi",2600,4,4,41000,22.3586885,91.8141603,Khulshi,Low
"Gulshan 2, Gulshan",3850,4,4,320000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",3443,3,3,110000,23.8028731,90.420766,Baridhara,High
"Sector 1, Uttara",1600,4,4,70000,23.8587004,90.4001495,Uttara,Medium
"Block K, Baridhara",2200,3,3,85000,23.8028731,90.420766,Baridhara,High
7 No. West Sholoshohor Ward,1500,4,4,24000,22.374104,91.8342716,7 No. West Sholoshohor Ward,Medium
