Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Area,Price_Zone
"South Khulshi, Khulshi",1800,3,3,36500,22.3587138,91.8108977,Khulshi,Low
"Dhaka Housing Main Road, Shyamoli",1300,3,3,22000,23.775297,90.3593393,Shyamoli,Medium
"Paikpara, Mirpur",1350,3,3,22000,23.7881532,90.3595372,Mirpur,Low
"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward",1800,3,3,42000,22.3517735,91.8330525,16 No. Chawk Bazaar Ward,Medium
"Block C, Bashundhara R-A",1400,3,3,70000,23.8184723,90.4272477,Bashundhara R-A,High
"Block K, Baridhara",2300,3,3,120000,23.8028731,90.420766,Baridhara,High
"Sector 9, Uttara",850,2,2,24000,23.8772975,90.3972052,Uttara,Medium
"26 No. North Halishahar Ward, Halishahar",1600,3,3,28000,22.3287809,91.7745556,Halishahar,Medium
"Block J, Banasree",1500,4,4,30000,23.7619353,90.433141,Banasree,Medium
"Chandgaon Residential Area, 4 No Chandgaon Ward",1600,3,3,28000,22.3784211,91.8476843,4 No Chandgaon Ward,Medium
"Baitul Aman Housing Society, Adabor",1250,3,3,23000,23.7734642,90.3580005,Adabor,Medium
"Taltola, Khilgaon",1600,3,3,26000,23.7519151,90.4257745,Khilgaon,Low
"Sector 5, Uttara",1400,3,3,26000,23.8646732,90.3907284,Uttara,Medium
"Road No 4, Shyamoli",1300,3,3,27000,23.778398,90.3636103,Shyamoli,Medium
"Middle Badda, Badda",1340,3,3,30000,23.7798106,90.4237121,Badda,Low
"Middle Badda, Badda",1340,3,3,30000,23.7798106,90.4237121,Badda,Low
"Sector 14, Uttara",1800,4,4,36000,23.8676564,90.3871961,Uttara,Medium
"Middle Badda, Badda",1350,3,3,28000,23.7798106,90.4237121,Badda,Low
"Block C, Aftab Nagar",1200,3,3,22000,23.7610623,90.4302394,Aftab Nagar,Medium
"Kallyanpur, Mirpur",1250,3,3,23000,23.7822036,90.3595372,Mirpur,Low
"Middle Badda, Badda",1100,2,2,20000,23.7798106,90.4237121,Badda,Low
"Dhaka Housing Main Road, Shyamoli",1300,3,3,22000,23.775297,90.3593393,Shyamoli,Medium
"Block F, Banasree",1220,3,3,20000,23.7619353,90.433141,Banasree,Medium
